VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
575 1000 300 1200 60 250 0 262 4666 5207 376 1691 2023
575 1000 300 1200 60 250 100 272 6428 7504 389 3117 4468
575 1000 300 1200 60 250 200 283 8266 9516 403 4614 6533
575 1000 300 1200 60 250 300 294 10195 11339 419 6220 8402
575 1000 300 1200 60 250 400 305 12221 13017 434 7911 10110
575 1000 300 1200 60 275 0 263 4663 5207 376 1691 2023
575 1000 300 1200 60 275 100 274 6425 7504 389 3117 4468
575 1000 300 1200 60 275 200 284 8263 9516 404 4614 6533
575 1000 300 1200 60 275 300 295 10192 11339 419 6220 8402
575 1000 300 1200 60 275 400 307 12218 13017 434 7911 10110
575 1000 300 1200 60 300 0 265 4660 5207 376 1691 2023
575 1000 300 1200 60 300 100 275 6421 7504 389 3117 4468
575 1000 300 1200 60 300 200 286 8259 9516 404 4614 6533
575 1000 300 1200 60 300 300 297 10188 11339 419 6220 8402
575 1000 300 1200 60 300 400 309 12214 13017 434 7911 10110
575 1000 300 1200 70 200 0 260 4696 5207 379 1705 2023
575 1000 300 1200 70 200 100 270 6461 7504 393 3136 4468
575 1000 300 1200 70 200 200 281 8304 9516 407 4637 6533
575 1000 300 1200 70 200 300 291 10237 11339 422 6247 8402
575 1000 300 1200 70 200 400 303 12268 13017 438 7943 10110
575 1000 300 1200 70 225 0 261 4693 5207 379 1705 2023
575 1000 300 1200 70 225 100 272 6458 7504 393 3136 4468
575 1000 300 1200 70 225 200 282 8300 9516 407 4637 6533
575 1000 300 1200 70 225 300 293 10233 11339 422 6247 8402
575 1000 300 1200 70 225 400 305 12264 13017 438 7942 10110
575 1000 300 1200 70 250 0 263 4690 5207 379 1705 2023
575 1000 300 1200 70 250 100 273 6455 7504 393 3136 4468
575 1000 300 1200 70 250 200 284 8297 9516 407 4636 6533
575 1000 300 1200 70 250 300 295 10230 11339 422 6247 8402
575 1000 300 1200 70 250 400 307 12260 13017 438 7942 10110
575 1000 300 1200 70 275 0 265 4687 5207 379 1705 2023
575 1000 300 1200 70 275 100 275 6451 7504 393 3136 4468
575 1000 300 1200 70 275 200 286 8294 9516 407 4636 6533
575 1000 300 1200 70 275 300 297 10227 11339 422 6247 8402
575 1000 300 1200 70 275 400 308 12257 13017 438 7942 10110
575 1000 300 1200 70 300 0 266 4684 5207 379 1705 2023
575 1000 300 1200 70 300 100 277 6449 7504 393 3136 4468
575 1000 300 1200 70 300 200 287 8290 9516 407 4636 6533
575 1000 300 1200 70 300 300 299 10223 11339 422 6247 8402
575 1000 300 1200 70 300 400 310 12253 13017 438 7942 10110
575 1000 300 1400 10 200 0 250 4216 5207 350 1474 2023
575 1000 300 1400 10 200 100 259 5553 7504 363 2526 4468
575 1000 300 1400 10 200 200 269 7006 9516 376 3680 6533
575 1000 300 1400 10 200 300 280 8582 11339 390 4970 8402
