VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
650 1000 0 0 30 300 600 1883 4310 9152
650 1000 0 0 30 300 700 1952 5304 10254
650 1000 0 0 30 300 800 2025 6369 11296
650 1000 0 0 30 300 900 2099 7500 12283
650 1000 0 0 30 360 0 1495 74 125
650 1000 0 0 30 360 100 1554 546 2184
650 1000 0 0 30 360 200 1616 1122 3868
650 1000 0 0 30 360 300 1680 1793 5362
650 1000 0 0 30 360 400 1746 2551 6722
650 1000 0 0 30 360 500 1813 3392 7979
650 1000 0 0 30 360 600 1883 4310 9152
650 1000 0 0 30 360 700 1952 5304 10254
650 1000 0 0 30 360 800 2025 6369 11296
650 1000 0 0 30 360 900 2099 7500 12283
650 1000 0 0 45 0 0 1534 76 125
650 1000 0 0 45 0 100 1594 551 2184
650 1000 0 0 45 0 200 1657 1131 3868
650 1000 0 0 45 0 300 1722 1807 5362
650 1000 0 0 45 0 400 1790 2570 6722
650 1000 0 0 45 0 500 1859 3416 7979
650 1000 0 0 45 0 600 1931 4341 9152
650 1000 0 0 45 0 700 2003 5342 10254
650 1000 0 0 45 0 800 2077 6414 11296
650 1000 0 0 45 0 900 2153 7552 12283
650 1000 0 0 45 60 0 1534 76 125
650 1000 0 0 45 60 100 1594 551 2184
650 1000 0 0 45 60 200 1657 1131 3868
650 1000 0 0 45 60 300 1722 1807 5362
650 1000 0 0 45 60 400 1790 2570 6722
650 1000 0 0 45 60 500 1859 3416 7979
650 1000 0 0 45 60 600 1931 4341 9152
650 1000 0 0 45 60 700 2003 5342 10254
650 1000 0 0 45 60 800 2077 6414 11296
650 1000 0 0 45 60 900 2153 7552 12283
650 1000 0 0 45 120 0 1534 76 125
650 1000 0 0 45 120 100 1594 551 2184
650 1000 0 0 45 120 200 1657 1131 3868
650 1000 0 0 45 120 300 1722 1807 5362
650 1000 0 0 45 120 400 1790 2570 6722
650 1000 0 0 45 120 500 1859 3416 7979
650 1000 0 0 45 120 600 1931 4341 9152
650 1000 0 0 45 120 700 2003 5342 10254
650 1000 0 0 45 120 800 2077 6414 11296
650 1000 0 0 45 120 900 2153 7552 12283
650 1000 0 0 45 180 0 1534 76 125
650 1000 0 0 45 180 100 1594 551 2184
