DATE LAT LON BAND_1 BAND_2 BAND_3 BAND_4 BAND_5, BAND_9, CLM
20120620.0000 -12.9240 -49.1780 0.1120 0.2253 0.3104 300.5886 242.2106 295.9296 0.0000
20120620.0000 -12.9240 -49.1432 0.1105 0.2301 0.3086 300.2254 242.8198 295.8033 0.0000
20120620.0000 -12.9240 -49.1083 0.1105 0.2301 0.3086 300.2254 242.8198 295.8033 0.0000
20120620.0000 -12.9240 -49.0735 0.1076 0.2300 0.2986 299.3914 242.9840 295.4237 0.0000
20120620.0000 -12.9240 -49.0387 0.1033 0.2348 0.2787 298.7262 242.8746 295.1699 0.0000
20120620.0000 -12.9240 -48.9341 0.1089 0.2296 0.2964 299.8576 243.0930 295.6769 0.0000
20120620.0000 -12.9240 -48.8993 0.1089 0.2296 0.2964 299.8576 243.0930 295.6769 0.0000
20120620.0000 -12.9240 -48.8645 0.1117 0.2377 0.2963 299.3914 242.7099 294.9156 0.0000
20120620.0000 -12.9240 -48.8296 0.1102 0.2424 0.2863 298.2416 241.8170 293.1187 1.0000
20120620.0000 -12.9240 -48.7948 0.1102 0.2424 0.2863 298.2416 241.8170 293.1187 1.0000
20120620.0000 -12.9240 -48.7599 0.1101 0.2439 0.2747 296.9427 241.1887 291.0285 0.0000
20120620.0000 -12.9240 -46.4256 0.0881 0.2034 0.2655 300.1339 242.1547 297.1844 2.0000
20120620.0000 -12.9240 -46.3908 0.1748 0.3186 0.2926 299.5788 242.1547 295.2969 3.0000
20120620.0000 -12.9240 -46.1120 0.1382 0.2525 0.3240 302.1707 242.2106 299.0413 0.0000
20120620.0000 -12.9588 -50.5020 0.1049 0.2601 0.2714 297.7488 241.5329 295.0428 0.0000
20120620.0000 -12.9588 -50.4671 0.1135 0.2516 0.3062 299.8576 241.5899 295.8033 0.0000
20120620.0000 -12.9588 -50.4323 0.1135 0.2516 0.3062 299.8576 241.5899 295.8033 0.0000
20120620.0000 -12.9588 -50.3974 0.1033 0.2499 0.2712 298.3391 241.5329 295.1699 0.0000
20120620.0000 -12.9588 -50.3626 0.1033 0.2499 0.2712 298.3391 241.5329 295.1699 0.0000
20120620.0000 -12.9588 -50.3278 0.1062 0.2448 0.2810 298.4364 241.7604 294.9156 0.0000
20120620.0000 -12.9588 -50.2929 0.1206 0.2330 0.3257 300.8582 241.6468 295.8033 0.0000
20120620.0000 -12.9588 -50.2581 0.1206 0.2330 0.3257 300.8582 241.6468 295.8033 0.0000
20120620.0000 -12.9588 -50.2232 0.1177 0.2328 0.3189 301.6526 241.7036 296.3075 0.0000
20120620.0000 -12.9588 -50.1884 0.1176 0.2343 0.3253 301.3021 241.9299 296.4332 0.0000
20120620.0000 -12.9588 -50.1536 0.1176 0.2343 0.3253 301.3021 241.9299 296.4332 0.0000
20120620.0000 -12.9588 -50.1187 0.1204 0.2292 0.3384 300.9475 242.0986 296.4332 0.0000
20120620.0000 -12.9588 -50.0839 0.1204 0.2292 0.3384 300.9475 242.0986 296.4332 0.0000
20120620.0000 -12.9588 -50.0490 0.1116 0.2307 0.3150 300.4075 242.2106 296.3075 0.0000
20120620.0000 -12.9588 -50.0142 0.1072 0.2322 0.2933 299.7650 242.2106 296.1816 0.0000
20120620.0000 -12.9588 -49.9794 0.1072 0.2322 0.2933 299.7650 242.2106 296.1816 0.0000
20120620.0000 -12.9588 -49.9445 0.1086 0.2255 0.2964 299.8576 242.3779 296.0557 0.0000
20120620.0000 -12.9588 -49.2477 0.1150 0.2255 0.3157 300.7686 242.2106 296.0557 0.0000
20120620.0000 -12.9588 -49.2129 0.1121 0.2271 0.3106 300.4982 242.2665 295.9296 0.0000
20120620.0000 -12.9588 -49.1780 0.1121 0.2271 0.3106 300.4982 242.2665 295.9296 0.0000
20120620.0000 -12.9588 -49.1432 0.1120 0.2286 0.3071 300.0421 242.5443 295.9296 0.0000
20120620.0000 -12.9588 -49.1083 0.1077 0.2268 0.2922 299.7650 242.8198 295.5504 0.0000
20120620.0000 -12.9588 -49.0735 0.1077 0.2268 0.2922 299.7650 242.8198 295.5504 0.0000
20120620.0000 -12.9588 -49.0387 0.0990 0.2365 0.2625 298.3391 242.7649 295.2969 0.0000
20120620.0000 -12.9588 -49.0038 0.1033 0.2331 0.2787 298.8221 242.8746 295.1699 0.0000
20120620.0000 -12.9588 -48.9690 0.1033 0.2331 0.2787 298.8221 242.8746 295.1699 0.0000
20120620.0000 -12.9588 -48.9341 0.1075 0.2215 0.2933 299.8576 242.8198 295.4237 0.0000
20120620.0000 -12.9588 -48.8993 0.1046 0.2312 0.2784 298.8221 242.6548 295.0428 0.0000
20120620.0000 -12.9588 -48.8645 0.1046 0.2312 0.2784 298.8221 242.6548 295.0428 0.0000
20120620.0000 -12.9588 -48.8296 0.1045 0.2376 0.2734 298.0455 242.4889 293.8923 0.0000
20120620.0000 -12.9588 -48.7948 0.1045 0.2392 0.2699 297.9469 241.8735 292.7298 3.0000
20120620.0000 -12.9588 -48.7599 0.1045 0.2392 0.2699 297.9469 241.8735 292.7298 2.0000
20120620.0000 -12.9588 -46.4256 0.1344 0.2260 0.2946 299.9500 242.1547 295.1699 0.0000
20120620.0000 -12.9588 -46.3908 0.1064 0.2275 0.2801 300.5886 242.5443 297.3091 1.0000
20120620.0000 -12.9588 -46.2166 0.1510 0.2336 0.2605 298.2416 242.3222 294.0208 0.0000
20120620.0000 -12.9588 -46.1817 0.1160 0.2287 0.2891 301.9127 242.2665 298.4256 0.0000
20120620.0000 -12.9588 -46.1469 0.1466 0.2606 0.3688 304.7936 242.2106 300.5057 0.0000
20120620.0000 -12.9937 -50.5368 0.1035 0.2453 0.2684 297.8481 241.3612 294.9156 0.0000
20120620.0000 -12.9937 -50.5020 0.1035 0.2453 0.2684 297.8481 241.3612 294.9156 0.0000
20120620.0000 -12.9937 -50.4671 0.1078 0.2469 0.2932 299.2973 241.3038 295.6769 0.0000
20120620.0000 -12.9937 -50.4323 0.1078 0.2469 0.2932 299.2973 241.3038 295.6769 0.0000
