VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR XA_SWIR XB_SWIR XC_SWIR 
650 1075 0 0 15 240 500 281 10622 14584 386 6848 11700 1752 3357 7979
650 1075 0 0 15 240 600 293 12506 16061 403 8363 13171 1819 4266 9152
650 1075 0 0 15 240 700 306 14509 17461 419 9995 14566 1887 5250 10254
650 1075 0 0 15 240 800 318 16632 18784 436 11744 15888 1957 6304 11296
650 1075 0 0 15 240 900 331 18850 20040 453 13569 17129 2028 7424 12283
650 1075 0 0 15 300 0 227 3425 5207 310 1210 2023 1445 71 125
650 1075 0 0 15 300 100 238 4551 7504 324 2031 4468 1502 539 2184
650 1075 0 0 15 300 200 250 5840 9516 339 3007 6533 1561 1109 3868
650 1075 0 0 15 300 300 261 7285 11339 354 4153 8402 1623 1773 5362
650 1075 0 0 15 300 400 273 8875 13017 370 5429 10110 1686 2524 6722
650 1075 0 0 15 300 500 286 10613 14584 386 6848 11700 1752 3357 7979
650 1075 0 0 15 300 600 298 12497 16061 403 8363 13171 1819 4266 9152
650 1075 0 0 15 300 700 311 14499 17461 419 9994 14566 1887 5250 10254
650 1075 0 0 15 300 800 323 16623 18784 436 11744 15888 1957 6304 11296
650 1075 0 0 15 300 900 336 18840 20040 453 13568 17129 2028 7424 12283
650 1075 0 0 15 360 0 231 3419 5207 310 1210 2023 1445 71 125
650 1075 0 0 15 360 100 241 4544 7504 324 2031 4468 1502 539 2184
650 1075 0 0 15 360 200 254 5833 9516 339 3007 6533 1561 1109 3868
650 1075 0 0 15 360 300 266 7277 11339 355 4153 8402 1623 1773 5362
650 1075 0 0 15 360 400 278 8867 13017 370 5429 10110 1686 2524 6722
650 1075 0 0 15 360 500 290 10604 14584 387 6847 11700 1752 3357 7979
650 1075 0 0 15 360 600 303 12488 16061 403 8363 13171 1819 4266 9152
650 1075 0 0 15 360 700 316 14491 17461 420 9994 14566 1887 5250 10254
650 1075 0 0 15 360 800 329 16613 18784 436 11744 15888 1957 6304 11296
650 1075 0 0 15 360 900 342 18830 20040 453 13568 17129 2028 7424 12283
650 1075 0 0 30 0 0 212 3499 5207 317 1243 2023 1495 74 125
650 1075 0 0 30 0 100 222 4635 7504 332 2071 4468 1554 546 2184
650 1075 0 0 30 0 200 233 5934 9516 347 3056 6533 1616 1122 3868
650 1075 0 0 30 0 300 244 7391 11339 363 4211 8402 1680 1793 5362
650 1075 0 0 30 0 400 255 8993 13017 379 5499 10110 1746 2551 6722
650 1075 0 0 30 0 500 267 10743 14584 396 6929 11700 1813 3392 7979
650 1075 0 0 30 0 600 278 12639 16061 413 8457 13171 1883 4310 9152
650 1075 0 0 30 0 700 290 14655 17461 430 10103 14566 1952 5304 10254
650 1075 0 0 30 0 800 302 16792 18784 447 11867 15888 2025 6369 11296
650 1075 0 0 30 0 900 314 19024 20040 464 13707 17129 2099 7500 12283
650 1075 0 0 30 60 0 215 3493 5207 317 1243 2023 1495 74 125
650 1075 0 0 30 60 100 225 4629 7504 332 2071 4468 1554 546 2184
650 1075 0 0 30 60 200 237 5927 9516 347 3056 6533 1616 1122 3868
650 1075 0 0 30 60 300 248 7383 11339 363 4211 8402 1680 1793 5362
650 1075 0 0 30 60 400 259 8985 13017 379 5499 10110 1746 2551 6722
650 1075 0 0 30 60 500 271 10734 14584 396 6929 11700 1813 3392 7979
650 1075 0 0 30 60 600 283 12631 16061 413 8457 13171 1883 4310 9152
650 1075 0 0 30 60 700 295 14646 17461 430 10103 14566 1952 5304 10254
650 1075 0 0 30 60 800 307 16783 18784 447 11867 15888 2025 6369 11296
650 1075 0 0 30 60 900 319 19014 20040 464 13707 17129 2099 7500 12283
650 1075 0 0 30 120 0 219 3487 5207 317 1243 2023 1495 74 125
650 1075 0 0 30 120 100 230 4622 7504 332 2071 4468 1554 546 2184
650 1075 0 0 30 120 200 240 5920 9516 347 3056 6533 1616 1122 3868
650 1075 0 0 30 120 300 252 7376 11339 363 4211 8402 1680 1793 5362
650 1075 0 0 30 120 400 264 8977 13017 380 5499 10110 1746 2551 6722
650 1075 0 0 30 120 500 275 10726 14584 396 6929 11700 1813 3392 7979
650 1075 0 0 30 120 600 287 12622 16061 413 8457 13171 1883 4310 9152
650 1075 0 0 30 120 700 300 14637 17461 430 10103 14566 1952 5304 10254
650 1075 0 0 30 120 800 312 16773 18784 447 11867 15888 2025 6369 11296
650 1075 0 0 30 120 900 324 19004 20040 464 13705 17129 2099 7500 12283
650 1075 0 0 30 180 0 223 3481 5207 317 1242 2023 1495 74 125
650 1075 0 0 30 180 100 234 4616 7504 332 2070 4468 1554 546 2184
650 1075 0 0 30 180 200 245 5913 9516 348 3055 6533 1616 1122 3868
650 1075 0 0 30 180 300 256 7368 11339 363 4211 8402 1680 1793 5362
650 1075 0 0 30 180 400 268 8969 13017 380 5498 10110 1746 2551 6722
650 1075 0 0 30 180 500 280 10718 14584 396 6929 11700 1813 3392 7979
650 1075 0 0 30 180 600 292 12613 16061 413 8457 13171 1883 4310 9152
650 1075 0 0 30 180 700 305 14628 17461 430 10102 14566 1952 5304 10254
650 1075 0 0 30 180 800 317 16764 18784 447 11867 15888 2025 6369 11296
650 1075 0 0 30 180 900 330 18994 20040 464 13705 17129 2099 7500 12283
650 1075 0 0 30 240 0 225 3475 5207 318 1242 2023 1495 74 125
650 1075 0 0 30 240 100 237 4609 7504 332 2070 4468 1554 546 2184
650 1075 0 0 30 240 200 249 5906 9516 348 3055 6533 1616 1122 3868
650 1075 0 0 30 240 300 261 7360 11339 364 4211 8402 1680 1793 5362
650 1075 0 0 30 240 400 272 8961 13017 380 5498 10110 1746 2551 6722
650 1075 0 0 30 240 500 285 10709 14584 396 6929 11700 1813 3392 7979
650 1075 0 0 30 240 600 297 12604 16061 413 8457 13171 1883 4310 9152
650 1075 0 0 30 240 700 310 14618 17461 430 10102 14566 1952 5304 10254
650 1075 0 0 30 240 800 322 16754 18784 447 11867 15888 2025 6369 11296
650 1075 0 0 30 240 900 335 18984 20040 464 13705 17129 2099 7500 12283
650 1075 0 0 30 300 0 230 3470 5207 318 1242 2023 1495 74 125
650 1075 0 0 30 300 100 240 4603 7504 332 2070 4468 1554 546 2184
650 1075 0 0 30 300 200 253 5899 9516 348 3055 6533 1616 1122 3868
650 1075 0 0 30 300 300 265 7353 11339 364 4211 8402 1680 1793 5362
650 1075 0 0 30 300 400 277 8953 13017 380 5498 10110 1746 2551 6722
650 1075 0 0 30 300 500 289 10701 14584 396 6927 11700 1813 3392 7979
650 1075 0 0 30 300 600 302 12595 16061 413 8456 13171 1883 4310 9152
650 1075 0 0 30 300 700 315 14610 17461 430 10102 14566 1952 5304 10254
650 1075 0 0 30 300 800 328 16745 18784 447 11866 15888 2025 6369 11296
650 1075 0 0 30 300 900 341 18974 20040 464 13705 17129 2099 7500 12283
650 1075 0 0 30 360 0 234 3463 5207 318 1242 2023 1495 74 125
650 1075 0 0 30 360 100 245 4596 7504 333 2070 4468 1554 546 2184
650 1075 0 0 30 360 200 257 5892 9516 348 3055 6533 1616 1122 3868
650 1075 0 0 30 360 300 269 7346 11339 364 4211 8402 1680 1793 5362
650 1075 0 0 30 360 400 281 8945 13017 380 5498 10110 1746 2551 6722
650 1075 0 0 30 360 500 294 10692 14584 396 6927 11700 1813 3392 7979
650 1075 0 0 30 360 600 307 12587 16061 413 8456 13171 1883 4310 9152
650 1075 0 0 30 360 700 320 14601 17461 430 10102 14566 1952 5304 10254
650 1075 0 0 30 360 800 333 16735 18784 447 11866 15888 2025 6369 11296
650 1075 0 0 30 360 900 346 18964 20040 464 13705 17129 2099 7500 12283
650 1075 0 0 45 0 0 214 3536 5207 323 1267 2023 1534 76 125
650 1075 0 0 45 0 100 224 4677 7504 338 2101 4468 1594 551 2184
650 1075 0 0 45 0 200 235 5982 9516 354 3092 6533 1657 1131 3868
650 1075 0 0 45 0 300 246 7446 11339 370 4254 8402 1722 1807 5362
650 1075 0 0 45 0 400 258 9055 13017 387 5550 10110 1790 2570 6722
650 1075 0 0 45 0 500 269 10812 14584 404 6988 11700 1859 3416 7979
650 1075 0 0 45 0 600 281 12717 16061 421 8526 13171 1931 4341 9152
650 1075 0 0 45 0 700 293 14741 17461 438 10182 14566 2003 5342 10254
650 1075 0 0 45 0 800 305 16888 18784 456 11957 15888 2077 6414 11296
650 1075 0 0 45 0 900 317 19129 20040 473 13807 17129 2153 7552 12283
650 1075 0 0 45 60 0 218 3530 5207 323 1267 2023 1534 76 125
650 1075 0 0 45 60 100 228 4671 7504 339 2100 4468 1594 551 2184
650 1075 0 0 45 60 200 239 5975 9516 354 3092 6533 1657 1131 3868
650 1075 0 0 45 60 300 251 7438 11339 370 4254 8402 1722 1807 5362
650 1075 0 0 45 60 400 262 9047 13017 387 5550 10110 1790 2570 6722
650 1075 0 0 45 60 500 274 10804 14584 404 6988 11700 1859 3416 7979
650 1075 0 0 45 60 600 286 12708 16061 421 8526 13171 1931 4341 9152
650 1075 0 0 45 60 700 298 14732 17461 438 10181 14566 2003 5342 10254
650 1075 0 0 45 60 800 310 16878 18784 456 11956 15888 2077 6414 11296
650 1075 0 0 45 60 900 322 19119 20040 474 13807 17129 2153 7552 12283
650 1075 0 0 45 120 0 221 3524 5207 324 1267 2023 1534 76 125
650 1075 0 0 45 120 100 232 4664 7504 339 2100 4468 1594 551 2184
650 1075 0 0 45 120 200 243 5969 9516 354 3091 6533 1657 1131 3868
650 1075 0 0 45 120 300 255 7431 11339 370 4254 8402 1722 1807 5362
650 1075 0 0 45 120 400 266 9039 13017 387 5550 10110 1790 2570 6722
650 1075 0 0 45 120 500 278 10796 14584 404 6988 11700 1859 3416 7979
650 1075 0 0 45 120 600 290 12700 16061 421 8526 13171 1931 4341 9152
650 1075 0 0 45 120 700 303 14724 17461 438 10181 14566 2003 5342 10254
650 1075 0 0 45 120 800 315 16869 18784 456 11956 15888 2077 6414 11296
650 1075 0 0 45 120 900 328 19110 20040 474 13805 17129 2153 7552 12283
650 1075 0 0 45 180 0 224 3518 5207 324 1267 2023 1534 76 125
650 1075 0 0 45 180 100 236 4658 7504 339 2100 4468 1594 551 2184
650 1075 0 0 45 180 200 247 5962 9516 354 3091 6533 1657 1131 3868
650 1075 0 0 45 180 300 259 7423 11339 371 4254 8402 1722 1807 5362
650 1075 0 0 45 180 400 271 9031 13017 387 5549 10110 1790 2570 6722
650 1075 0 0 45 180 500 283 10787 14584 404 6988 11700 1859 3416 7979
650 1075 0 0 45 180 600 295 12691 16061 421 8526 13171 1931 4341 9152
650 1075 0 0 45 180 700 308 14715 17461 439 10181 14566 2003 5342 10254
650 1075 0 0 45 180 800 320 16860 18784 456 11956 15888 2077 6414 11296
650 1075 0 0 45 180 900 333 19100 20040 474 13805 17129 2153 7552 12283
650 1075 0 0 45 240 0 229 3512 5207 324 1267 2023 1534 76 125
650 1075 0 0 45 240 100 239 4651 7504 339 2100 4468 1594 551 2184
650 1075 0 0 45 240 200 251 5955 9516 355 3091 6533 1657 1131 3868
650 1075 0 0 45 240 300 263 7416 11339 371 4254 8402 1722 1807 5362
650 1075 0 0 45 240 400 275 9023 13017 387 5549 10110 1790 2570 6722
650 1075 0 0 45 240 500 288 10779 14584 404 6988 11700 1859 3416 7979
650 1075 0 0 45 240 600 300 12681 16061 421 8526 13171 1931 4341 9152
650 1075 0 0 45 240 700 313 14706 17461 439 10181 14566 2003 5342 10254
650 1075 0 0 45 240 800 326 16850 18784 456 11956 15888 2077 6414 11296
650 1075 0 0 45 240 900 339 19090 20040 474 13805 17129 2153 7552 12283
650 1075 0 0 45 300 0 232 3506 5207 324 1267 2023 1534 76 125
650 1075 0 0 45 300 100 244 4645 7504 339 2100 4468 1594 551 2184
650 1075 0 0 45 300 200 256 5948 9516 355 3091 6533 1657 1131 3868
650 1075 0 0 45 300 300 268 7407 11339 371 4254 8402 1722 1807 5362
650 1075 0 0 45 300 400 280 9015 13017 387 5549 10110 1790 2570 6722
650 1075 0 0 45 300 500 292 10770 14584 404 6988 11700 1859 3416 7979
650 1075 0 0 45 300 600 305 12674 16061 422 8525 13171 1931 4341 9152
650 1075 0 0 45 300 700 318 14696 17461 439 10181 14566 2003 5342 10254
