layer_1 layer_2 layer_3 iter score
24.0000 36.0000 9.0000 600.0000 0.8869
24.0000 36.0000 9.0000 1000.0000 0.8891
24.0000 36.0000 12.0000 200.0000 0.8896
24.0000 36.0000 12.0000 600.0000 0.8873
24.0000 36.0000 12.0000 1000.0000 0.8904
24.0000 48.0000 3.0000 200.0000 0.8861
24.0000 48.0000 3.0000 600.0000 0.8892
24.0000 48.0000 3.0000 1000.0000 0.8889
24.0000 48.0000 6.0000 200.0000 0.8862
24.0000 48.0000 6.0000 600.0000 0.8842
24.0000 48.0000 6.0000 1000.0000 0.8918
24.0000 48.0000 9.0000 200.0000 0.8886
24.0000 48.0000 9.0000 600.0000 0.8895
24.0000 48.0000 9.0000 1000.0000 0.8890
24.0000 48.0000 12.0000 200.0000 0.8898
24.0000 48.0000 12.0000 600.0000 0.8905
24.0000 48.0000 12.0000 1000.0000 0.8879
24.0000 60.0000 3.0000 200.0000 0.8896
24.0000 60.0000 3.0000 600.0000 0.8888
24.0000 60.0000 3.0000 1000.0000 0.8873
24.0000 60.0000 6.0000 200.0000 0.8879
24.0000 60.0000 6.0000 600.0000 0.8880
24.0000 60.0000 6.0000 1000.0000 0.8880
24.0000 60.0000 9.0000 200.0000 0.8909
24.0000 60.0000 9.0000 600.0000 0.8917
24.0000 60.0000 9.0000 1000.0000 0.8904
24.0000 60.0000 12.0000 200.0000 0.8839
24.0000 60.0000 12.0000 600.0000 0.8848
24.0000 60.0000 12.0000 1000.0000 0.8893
30.0000 12.0000 3.0000 200.0000 0.8873
30.0000 12.0000 3.0000 600.0000 0.8892
30.0000 12.0000 3.0000 1000.0000 0.8869
30.0000 12.0000 6.0000 200.0000 0.8879
30.0000 12.0000 6.0000 600.0000 0.8843
30.0000 12.0000 6.0000 1000.0000 0.8886
30.0000 12.0000 9.0000 200.0000 0.8874
30.0000 12.0000 9.0000 600.0000 0.8864
30.0000 12.0000 9.0000 1000.0000 0.8916
30.0000 12.0000 12.0000 200.0000 0.8861
30.0000 12.0000 12.0000 600.0000 0.8880
30.0000 12.0000 12.0000 1000.0000 0.8871
30.0000 24.0000 3.0000 200.0000 0.8869
30.0000 24.0000 3.0000 600.0000 0.8858
30.0000 24.0000 3.0000 1000.0000 0.8870
30.0000 24.0000 6.0000 200.0000 0.8876
30.0000 24.0000 6.0000 600.0000 0.8880
30.0000 24.0000 6.0000 1000.0000 0.8858
30.0000 24.0000 9.0000 200.0000 0.8848
30.0000 24.0000 9.0000 600.0000 0.8898
30.0000 24.0000 9.0000 1000.0000 0.8897
30.0000 24.0000 12.0000 200.0000 0.8869
30.0000 24.0000 12.0000 600.0000 0.8882
30.0000 24.0000 12.0000 1000.0000 0.8877
30.0000 36.0000 3.0000 200.0000 0.6609
30.0000 36.0000 3.0000 600.0000 0.8865
30.0000 36.0000 3.0000 1000.0000 0.8897
30.0000 36.0000 6.0000 200.0000 0.8874
30.0000 36.0000 6.0000 600.0000 0.8878
30.0000 36.0000 6.0000 1000.0000 0.8893
30.0000 36.0000 9.0000 200.0000 0.8902
30.0000 36.0000 9.0000 600.0000 0.8889
30.0000 36.0000 9.0000 1000.0000 0.8896
30.0000 36.0000 12.0000 200.0000 0.8891
30.0000 36.0000 12.0000 600.0000 0.8877
30.0000 36.0000 12.0000 1000.0000 0.8888
30.0000 48.0000 3.0000 200.0000 0.8928
30.0000 48.0000 3.0000 600.0000 0.8892
30.0000 48.0000 3.0000 1000.0000 0.8869
30.0000 48.0000 6.0000 200.0000 0.8910
30.0000 48.0000 6.0000 600.0000 0.8856
30.0000 48.0000 6.0000 1000.0000 0.8893
30.0000 48.0000 9.0000 200.0000 0.8886
30.0000 48.0000 9.0000 600.0000 0.8910
30.0000 48.0000 9.0000 1000.0000 0.8935
30.0000 48.0000 12.0000 200.0000 0.8878
30.0000 48.0000 12.0000 600.0000 0.8896
