Start to generate file: class_mod_msg.csv
[  5.  95.   4.   3.   1.]
[  5.  61.   1.   3.   2.]
[  5.  79.   3.   3.   1.]
[  5.  81.   3.   3.   1.]
[  5.  85.   4.   3.   1.]
[  5.  80.   3.   0.   2.]
[  5.  85.   4.   3.   2.]
[  1.  42.  -1.   1.   3.]
[  1.  48.   0.   2.   3.]
[  1.  54.   0.   3.   3.]
[  1.  88.   4.   1.   3.]
[  5.  63.   1.   3.   3.]
[  1.  80.   3.   0.   3.]
[  1.  78.   3.   1.   3.]
[  5.  53.   0.   3.   0.]
[ 11.  58.   1.   0.   0.]
[ 11.  61.   1.   0.   0.]
[ 11.  66.   2.   0.   2.]
[ 11.  73.   2.   1.   2.]
[ 11.  52.   0.   3.   0.]
[ 11.  65.   2.   3.   0.]
[  5.  54.   0.   3.   2.]
[ 11.  77.   3.   0.   0.]
[ 11.  69.   2.   3.   2.]
[ 11.  66.   2.   3.   2.]
[ 11.  61.   1.   3.   2.]
[ 11.  68.   2.   2.   2.]
[  5.  49.   0.   2.   0.]
[  5.  69.   2.   1.   0.]
[  5.  62.   1.   2.   0.]
[  1.  58.   1.   3.   3.]
[  1.  75.   2.   1.   3.]
[  1.  83.   3.   1.   3.]
[  1.  93.   4.   1.   3.]
[  1.  88.   4.   1.   3.]
[  1.  53.   0.   1.   3.]
[ 11.  39.  -1.   2.   2.]
[ 11.  40.  -1.   0.   3.]
[ 11.  45.   0.   3.   3.]
[ 11.  53.   0.   0.   0.]
[  5.  65.   2.   2.   0.]
[ 11.  45.   0.   0.   0.]
[  5.  62.   1.   2.   0.]
[  5.  49.   0.   2.   0.]
[ 11.  43.  -1.   3.   1.]
[ 11.  71.   2.   3.   2.]
[ 11.  52.   0.   1.   2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    1.]
[  5.  99.   5.   2.   2.]
[  8.  63.   1.   3.   2.]
[  8.  50.   0.   3.   2.]
[  5.  81.   3.   3.   1.]
[  5.  80.   3.   3.   1.]
[  5.  81.   3.   3.   2.]
[  5.  82.   3.   0.   0.]
[  1.  63.   1.   1.   3.]
[  1.  40.  -1.   0.   3.]
[  5.  45.   0.   0.   3.]
[  1.  67.   2.   3.   3.]
[  1.  55.   0.   3.   3.]
[  1.  94.   4.   1.   3.]
[  1.  97.   5.   1.   3.]
[ 11.  45.   0.   3.   0.]
[ 11.  56.   1.   0.   0.]
[ 11.  59.   1.   0.   2.]
[ 11.  52.   0.   3.   2.]
[ 11.  51.   0.   2.   2.]
[ 11.  68.   2.   2.   2.]
[ 11.  64.   1.   3.   2.]
[ 11.  58.   1.   3.   2.]
[ 11.  64.   1.   3.   2.]
[ 11.  64.   1.   0.   2.]
[ 11.  70.   2.   0.   0.]
[ 11.  64.   1.   0.   2.]
[ 11.  67.   2.   3.   0.]
[ 11.  68.   2.   0.   0.]
[  5.  81.   3.   0.   0.]
[   5.  100.    5.    0.    0.]
[  5.  96.   5.   0.   0.]
[ 11.  40.  -1.   0.   0.]
[  1.  92.   4.   1.   3.]
[  1.  79.   3.   3.   3.]
[  1.  95.   4.   0.   3.]
[  1.  87.   4.   1.   3.]
[  1.  45.   0.   3.   3.]
[  1.  54.   0.   3.   3.]
[  1.  58.   1.   0.   3.]
[  1.  52.   0.   1.   3.]
[  5.  62.   1.   2.   2.]
[  5.  75.   2.   3.   0.]
[ 11.  62.   1.   3.   0.]
[  5.  45.   0.   2.   0.]
[  5.  59.   1.   2.   0.]
[  2.  37.  -1.   3.   1.]
[  5.  62.   1.   2.   0.]
[  5.  67.   2.   0.   0.]
[  5.  64.   1.   0.   2.]
[  5.  60.   1.   3.   1.]
[  5.  51.   0.   1.   1.]
[  5.  70.   2.   3.   1.]
[  5.  98.   5.   0.   2.]
[  8.  62.   1.   0.   2.]
[  8.  60.   1.   0.   2.]
[  5.  77.   3.   3.   2.]
[  5.  79.   3.   3.   3.]
[  5.  84.   3.   0.   2.]
[  5.  86.   4.   0.   0.]
[  1.  79.   3.   1.   3.]
[  1.  42.  -1.   0.   3.]
[  5.  66.   2.   3.   3.]
[  1.  84.   3.   1.   3.]
[  1.  77.   3.   3.   3.]
[  1.  96.   5.   3.   3.]
[  1.  92.   4.   3.   3.]
[ 11.  53.   0.   1.   2.]
[ 11.  65.   2.   3.   0.]
[  5.  57.   1.   2.   0.]
[  5.  51.   0.   0.   2.]
[ 11.  69.   2.   3.   2.]
[ 11.  65.   2.   2.   2.]
[ 11.  64.   1.   0.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  50.   0.   0.   2.]
[ 11.  67.   2.   3.   2.]
[ 11.  62.   1.   0.   2.]
[ 11.  60.   1.   2.   0.]
[ 11.  62.   1.   2.   0.]
[ 11.  65.   2.   3.   0.]
[ 11.  51.   0.   2.   0.]
[  5.  79.   3.   0.   0.]
[   5.  100.    5.    0.    0.]
[  5.  50.   0.   0.   2.]
[  1.  80.   3.   1.   3.]
[  1.  41.  -1.   3.   3.]
[  1.  58.   1.   0.   3.]
[  1.  60.   1.   0.   3.]
[  1.  63.   1.   1.   3.]
[  1.  43.  -1.   3.   3.]
[  1.  90.   4.   1.   3.]
[  1.  76.   3.   1.   3.]
[  1.  51.   0.   3.   2.]
[ 11.  43.  -1.   2.   0.]
[ 11.  67.   2.   3.   2.]
[  5.  47.   0.   2.   0.]
[  5.  74.   2.   0.   0.]
[ 11.  75.   2.   3.   0.]
[  5.  89.   4.   2.   0.]
[  5.  72.   2.   2.   0.]
[ 11.  73.   2.   0.   2.]
[ 11.  61.   1.   1.   1.]
[ 11.  42.  -1.   3.   2.]
[ 11.  60.   1.   1.   1.]
[ 11.  53.   0.   2.   2.]
[  8.  66.   2.   0.   2.]
[  8.  86.   4.   2.   0.]
